MSFT_-ve,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,MSFT_open_diff1,MSFT_+ve__S__0,MSFT_+ve__S__1,MSFT_+ve__S__2
1,-0.6634712470280777,-0.6640087147710595,-0.6576981015630641,-0.6580155798264454,0.7591590610079464,-0.15703962932405993,1,0,0
0,-0.6608171485520891,-0.6651804331242084,-0.6556160568994875,-0.6600798566849949,0.5702816764663307,-0.1451852056180141,0,1,0
0,-0.6584579499067659,-0.6643016443593467,-0.655318621947548,-0.6586053732146024,0.8446517019648899,0.044485573678685476,0,1,0
1,-0.6608171485520891,-0.6657662923007828,-0.6690006297367654,-0.6736451046126063,1.4088564514315212,0.2934284715056142,0,0,1
1,-0.669369243641386,-0.6760188278908358,-0.6725698491600396,-0.6780685550237838,1.4861866124718268,0.3882638611539597,0,0,1
1,-0.6802805373760058,-0.678948123773708,-0.6785185481988297,-0.6721706211422137,0.7181399319497436,-0.2518750189724097,0,1,0
0,-0.675267240254694,-0.6815844900682929,-0.6761420429328331,-0.6821971087408829,0.3502848372425327,0.3823366493009389,0,0,1
1,-0.6860310840739812,-0.6862713634808886,-0.6814928977182249,-0.6857358690698251,0.35915419858985986,-0.17482126488312658,1,0,0
1,-0.6829346358519944,-0.685392574716027,-0.68446724723762,-0.6919286996454738,0.9633677701642277,0.15117538703308528,1,0,0
1,-0.6879479329733064,-0.6892006593637608,-0.68446724723762,-0.6913389062573166,0.7136218926168005,-0.03849539226362269,1,0,0
1,-0.6882428328039717,-0.6836349971863035,-0.6811954627662854,-0.681017521964569,0.6659340708162464,-0.42969137456306766,1,0,0
1,-0.6788060382226788,-0.684220856362878,-0.6767339384871928,-0.6813124186586474,0.5790343356906668,0.1037576922089062,0,0,1
0,-0.6826397360213291,-0.6845137859511652,-0.6782211132468902,-0.6783634517178624,1.5203069788880672,-0.7497608146262587,0,1,0
1,-0.6652406460120702,-0.6701602361250912,-0.674952303125075,-0.6762991748593128,2.095895186865892,0.1748842344451685,0,1,0
0,-0.6708437427947128,-0.6739683207728251,-0.6690006297367654,-0.6733502079185277,0.7946865215928229,0.06819442109077714,0,0,1
1,-0.6737927411013669,-0.6766046870674102,-0.6672160200251284,-0.6701063442836642,0.3458701626470961,-0.25187501897241393,1,0,0
0,-0.668779443980055,-0.6745541799493996,-0.6654343846630106,-0.6680420674251146,1.0576797572729308,0.008922302560556414,0,1,0
1,-0.670253943133382,-0.6774834758322719,-0.6707852394484025,-0.6762991748593128,0.4980397279884391,0.17488423444517273,0,1,0
0,-0.6758570399160247,-0.6783622645971334,-0.6695984739901638,-0.6721706211422137,0.4547299029732386,-0.15703962932405993,0,0,1
1,-0.6732029414400361,-0.680412771715144,-0.6719749792561606,-0.6768889682474698,0.33859128451881965,0.044485573678685476,0,0,1
1,-0.6755621400853593,-0.6792410533619951,-0.6690006297367654,-0.6745297946948419,0.45797088764602134,0.16089601447203974,0,1,0
0,-0.6808172550678168,-0.6856855043043141,-0.6764365035352532,-0.6813124186586474,0.3696207118489802,-0.036361595996531326,1,0,0
0,-0.681165236868002,-0.6868572226574631,-0.6779236782949507,-0.6836715922112755,0.9650549494280426,0.1037576922089062,1,0,0
0,-0.6849989346666522,-0.6912511664817714,-0.6835749423818014,-0.6878001459283746,0.3300286830376406,0.13932096332703947,0,1,0
0,-0.6897173319572987,-0.693301673599782,-0.6856569870453779,-0.6919286996454738,0.6473984393388811,0.03263114997264386,1,0,0
1,-0.6917816307719565,-0.6994531949538138,-0.6916056860841683,-0.6969419434448083,0.9830437481005352,0.42382713227209723,1,0,0
1,-0.7035776239985727,-0.7041400683664094,-0.6975543851229584,-0.704314360796771,1.6275095490677354,-0.050349815969664306,1,0,0
